F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
11.7,4.41,-0.26,12.72,18.12,164.58,-0.65,50,9.11,114.56,-3.1,1.38,1,1.83,,False
11.7,5.91,0.8,11.8,18.21,155.58,2.83,72,8.71,134.56,-3.84,2.73,1,2.03,12.38,True
37.7,40.8,4.04,2.36,6.27,362.58,-1.84,300,4.24,364.56,-4.06,26.4,10,6.48,10.14,False
11.7,3.6,-0.08,11.38,29.67,89.58,1.48,6,9.91,144.56,-7.02,2.04,1,1.71,10.66,False
37.7,17.85,10.44,-0.06,2.52,-162.42,0.38,165,7.46,104.56,4.36,23.1,10,7.13,,False
37.7,36,9.62,-0.32,2.64,-42.42,2.69,210,3.95,204.56,6.06,17.85,10,9.53,11.88,True
15.7,6,-2.68,10.28,22.86,164.58,0.8,36,7.95,104.56,-2.86,1.41,1,1.83,,True
57.7,23.25,10.44,3.02,6.06,272.58,-1.33,335,3.73,344.56,6.58,26.55,10,7.58,12.84,True
37.7,24,5.68,-0.16,7.11,77.58,-1.57,140,2.81,494.56,5.52,15.45,10,10.28,10.54,True
57.7,39,9.26,3.14,5.79,152.58,-1.71,365,5.7,354.56,6.26,16.95,10,8.43,9.57,False
17.7,26.25,10.58,2.82,3.15,32.58,-0.14,185,2.97,204.56,-2.14,20.25,10,7.98,10.98,False
11.7,5.73,-8.1,12.18,17.94,179.58,-0.28,17,7.93,140.56,-8.74,0.87,1,1.28,10.31,False
17.7,16.8,11.26,5.86,5.4,47.58,1.41,330,2.36,364.56,5.46,23.4,10,10.78,11.26,False
11.7,5.04,0.7,15.62,20.34,125.58,-0.63,1,9.66,150.56,-7.28,0.78,1,1.92,11.29,False
9.7,2.25,-1.6,10.18,19.8,134.58,-0.48,0,7.66,90.56,-3.26,1.26,1,1.91,,False
17.7,31.35,9.48,1.34,4.8,77.58,-1.27,105,3.13,534.56,5.28,17.7,10,10.08,,True
15.7,6.15,-1.94,14.58,18.24,131.58,1.76,3,7.89,72.56,-5.4,0.24,1,1.67,,True
7.7,2.97,-1.52,10.42,26.76,116.58,1,33,7.53,124.56,-2.64,2.73,1,2.18,,True
37.7,17.7,10.6,-0.32,4.38,122.58,0.3,350,5.9,484.56,7.3,25.2,10,9.18,,False
11.7,1.2,1.34,11.08,18.06,113.58,-0.65,9,7.95,134.56,-4.42,0.78,1,2.26,11.01,False
11.7,3,1.2,13.38,24.57,131.58,0.58,9,9.45,66.56,-2.52,0.54,1,1.99,,False
17.7,29.55,0.7,9.08,7.38,62.58,-0.14,100,4.52,214.56,2.62,16.05,10,6.58,9.81,False
11.7,5.49,0.32,9.14,20.88,71.58,2.2,23,10.07,92.56,-2.84,1.2,1,2.01,,False
11.7,4.77,-2.26,10.38,23.4,176.58,-1.06,4,8.62,130.56,-2.5,1.86,1,2.19,,True
7.7,4.59,-0.14,11.62,20.13,65.58,-0.17,37,7.73,150.56,-5.5,3.03,1,2.21,10.79,True
17.7,35.85,9.48,7.16,4.44,-162.42,-0.56,175,8.55,114.56,2.46,21.15,10,6.28,,False
57.7,18.6,10.18,0.16,3.39,212.58,-1.03,55,3.41,214.56,1.08,19.95,10,7.88,,False
37.7,24.15,7.18,-0.38,2.25,242.58,1.87,215,3.09,294.56,7.78,24,10,8.38,,True
37.7,34.65,4.32,2.16,5.25,77.58,-1.36,310,3.49,374.56,6.9,27.9,10,7.53,,True
17.7,15.6,10.96,-0.58,2.34,-72.42,1.31,115,2.21,504.56,7.68,28.2,10,9.63,11.1,True
17.7,19.05,6.94,1.92,7.47,-12.42,-0.7,85,4.09,344.56,4.76,17.4,10,7.23,10.38,False
15.7,4.59,0.8,12.76,19.17,140.58,-0.37,15,8.89,138.56,-5.38,0.99,1,2.21,,True
15.7,4.77,-3.92,10.3,16.8,167.58,-1.23,7,8.07,92.56,-6.7,2.67,1,1.69,,True
11.7,2.1,1.42,12.64,24.84,143.58,0.03,16,7.71,120.56,-3.2,0.93,1,2.13,10.26,False
17.7,36.45,7.2,3.42,5.25,-132.42,0.94,265,3.08,374.56,4.92,17.4,10,8.63,10.3,False
37.7,40.05,4.1,4.9,10.26,347.58,-1.9,155,4.31,404.56,3.66,18.45,10,6.98,9.49,False
37.7,31.35,-2.98,2.44,13.08,212.58,-0.85,95,5.97,144.56,2.32,16.05,10,6.78,9.42,False
11.7,1.89,-2.16,8.8,17.55,89.58,0.42,5,8.92,64.56,-2.64,2.28,1,1.62,,False
17.7,18.75,11.18,0.14,1.62,92.58,1.08,305,2.79,184.56,7.6,27.6,10,9.18,11.11,True
11.7,3.54,-4.3,10.9,17.61,167.58,0.07,16,10.39,100.56,-4.06,1.11,1,1.8,9.48,False
15.7,5.49,-1.92,10.16,17.52,149.58,-0.63,70,9.15,98.56,-2.5,0.09,1,2.29,9.91,False
37.7,20.4,11.94,-0.7,4.29,92.58,-0.32,250,3.71,154.56,8.04,24.6,10,9.93,,True
37.7,16.65,6.58,1.16,5.31,437.58,-0.14,350,4.38,454.56,4.9,22.35,10,8.88,,False
7.7,5.19,0.7,8.96,16.62,92.58,-0.32,13,7.87,136.56,-3.1,2.34,1,1.94,11.66,False
37.7,15.15,12.4,-1.7,1.08,-87.42,0.03,390,2.31,424.56,7.5,28.65,10,10.43,9.5,False
37.7,21.3,6.6,0.98,6.06,122.58,-1.97,10,4.45,504.56,4.7,26.25,10,7.53,,False
11.7,0.3,0.82,9.9,25.29,125.58,2.35,3,7.24,100.56,-4.56,1.59,1,2.23,11.5,True
17.7,26.4,2.62,4.6,14.19,-72.42,2.46,195,5.71,284.56,3.86,16.05,10,7.28,,False
37.7,25.95,8.88,0.42,4.35,32.58,-0.98,110,3.3,454.56,4.22,17.1,10,9.68,,True
17.7,28.2,6.06,-0.04,4.2,-72.42,0.03,220,4.08,354.56,4.94,28.35,10,7.78,11.11,False
11.7,2.67,-3.32,15.4,22.59,83.58,0.01,6,7.38,66.56,-2.26,1.98,1,2.1,,True
37.7,29.4,7.1,1.08,6.96,287.58,-1.25,30,9.84,104.56,5.06,20.55,10,6.53,,False
37.7,28.95,10.26,0.78,7.14,-132.42,1.15,15,3.33,304.56,6.86,22.2,10,8.38,,True
37.7,28.8,3.72,6,18.03,62.58,2.04,375,5.46,264.56,-0.5,15.9,10,6.18,,False
15.7,5.67,1.24,12.34,22.56,155.58,0.01,42,8.37,62.56,-3.08,1.59,1,1.8,,True
57.7,33.75,8.56,2.18,12.57,392.58,-0.76,240,4.73,464.56,2.6,21.45,10,7.38,9.95,False
17.7,23.1,11.98,6.66,1.98,32.58,1.04,215,3.85,304.56,8.28,27.15,10,9.98,11.11,True
11.7,4.08,0.46,11.86,20.67,152.58,0.8,1,8.63,142.56,-5.44,1.2,1,1.31,,False
11.7,0.99,-4.4,14.72,17.58,176.58,-0.67,7,7.68,70.56,-4.42,2.49,1,1.84,11.64,True
57.7,43.65,6.26,2.58,15.54,302.58,-0.86,355,4.82,484.56,1.88,15.6,10,8.08,,False
37.7,39.3,6.64,3.04,4.92,17.58,-0.43,315,3.56,274.56,4.5,24.75,10,6.33,,False
11.7,5.28,1.68,17.76,17.91,125.58,-0.66,18,8.57,88.56,-2.22,2.49,1,2.09,12.46,True
37.7,19.5,6.86,5.44,5.58,152.58,-1.41,65,3.36,464.56,-0,23.1,10,7.58,10.42,False
11.7,4.26,-3.16,15.58,24.48,125.58,-0.4,24,7.82,104.56,-2.74,0.96,1,1.64,,False
37.7,22.65,8.36,6.8,4.35,257.58,-1.34,70,3.21,314.56,-0.46,23.4,10,7.33,10.3,False
15.7,4.44,-0.86,8.34,16.2,155.58,-1.07,24,10.94,76.56,-9.08,2.4,1,2.09,,True
7.7,5.49,1.08,10.84,20.19,65.58,-0.17,23,9.41,114.56,-3.58,0.99,1,1.95,9.75,False
11.7,4.05,-0.06,15.52,29.73,161.58,-0.43,21,7.43,94.56,-4.04,2.82,1,1.82,,True
15.7,5.67,-0.18,9.82,24.69,134.58,-1.19,1,8.42,146.56,-2.96,1.29,1,1.51,,True
17.7,44.25,5.36,2.14,9.21,-27.42,-1.23,280,3.99,234.56,4.98,21.9,10,6.63,10.59,False
15.7,0.63,-0.94,11.4,17.4,137.58,0.45,17,10.16,130.56,-3.32,0.81,1,1.98,10.47,False
11.7,4.56,1.22,14.1,16.77,164.58,0.76,52,7.72,88.56,-3.4,0.48,0,2.02,,True
17.7,37.35,10.92,-0.68,2.4,-72.42,-1.35,70,5.09,134.56,2.8,17.4,10,8.68,12.12,True
11.7,4.38,-5.9,8.8,17.13,89.58,0.14,5,10.5,118.56,-3.04,2.79,1,2.15,,True
11.7,3.51,-3.56,9.72,32.88,179.58,-0.3,22,8.43,70.56,-2.3,1.83,1,1.61,,False
37.7,28.5,7.66,2.72,4.59,-57.42,-0.64,240,4.62,164.56,6.12,20.1,10,7.33,9.35,False
57.7,26.25,8.1,5.02,5.82,152.58,-1.96,255,3.35,494.56,3.74,16.2,10,9.23,,False
11.7,2.52,-0.2,10.62,26.4,80.58,-0.21,28,8.97,96.56,-6.24,1.74,1,1.98,12.1,True
15.7,3,0.74,8.62,18.36,149.58,-0.44,11,7.32,62.56,-5.74,1.98,0,1.58,11.33,True
11.7,0.84,-4.22,9.38,22.71,182.58,-0.36,26,8.97,122.56,-5.58,2.85,1,2.1,11.92,True
15.7,4.47,-0.38,12.96,20.37,131.58,-0.25,7,10.96,98.56,-6.24,1.38,1,1.4,,False
11.7,4.8,-3.16,10.04,19.32,77.58,0.63,11,9.39,98.56,-3.32,0.48,1,1.66,,False
17.7,25.35,6.84,2.42,5.16,-72.42,0.56,60,4.61,444.56,4.1,22.35,10,7.28,9.35,False
15.7,5.31,-0.94,11.24,20.46,149.58,-0.82,40,10.95,98.56,-4.28,0.45,1,1.99,10.83,False
11.7,5.73,-4.48,13.22,20.61,146.58,0.42,59,10.12,154.56,-4.78,1.02,1,1.92,,False
15.7,2.76,-2.7,11.12,35.4,161.58,-0.5,28,7.59,94.56,-4.06,2.01,1,1.72,,False
11.7,3.48,-2.12,10.04,20.73,134.58,0.72,17,8.19,134.56,-6.44,0.48,1,2.11,,False
27.7,20.55,11.5,-0.2,2.13,137.58,0.65,315,2.43,154.56,6.66,15.45,10,9.88,11.15,False
37.7,30.75,5.46,1.86,4.95,-27.42,-0.49,320,3.65,534.56,7.72,30.15,10,9.23,11.69,True
15.7,1.29,0.34,10.76,18,143.58,-0.01,7,8.75,80.56,-2.94,1.44,1,2.24,,True
11.7,4.68,-0.94,11.8,18.93,143.58,-0.35,56,10.38,90.56,-2.4,0.45,1,2.14,10.59,False
37.7,35.55,8.98,2.44,5.76,77.58,-0.86,350,5.1,344.56,4.9,17.25,10,7.83,10.09,False
11.7,4.83,-0.82,10.28,17.49,131.58,1.87,13,13.45,80.56,-8,1.77,1,2.11,11.06,True
15.7,4.71,1.6,11.66,20.7,167.58,0.99,30,9.99,90.56,-1.98,2.37,1,1.85,11.85,True
37.7,23.4,9.62,0.32,3.63,-72.42,-1.25,95,3.48,184.56,2.1,20.85,10,7.78,11.92,True
15.7,1.71,-2.1,10.5,19.26,155.58,2.7,12,7.97,142.56,-2.76,1.2,1,1.78,10.23,False
37.7,27.6,7.7,6.22,5.58,332.58,-1.14,365,4.24,364.56,5.42,23.1,10,8.63,10.25,True
7.7,5.1,0.54,13.88,22.92,65.58,-0.62,20,8.56,96.56,-3.14,2.4,1,1.96,,True
57.7,15.9,6.84,4,10.02,152.58,-0.61,315,5.49,364.56,0.56,21.9,10,5.78,9.73,False
37.7,24.6,9.4,13.62,10.08,227.58,-0.96,250,6.13,514.56,6.62,27,10,7.68,,False
57.7,44.85,4.14,2.56,10.02,317.58,-1.43,315,4.25,394.56,3.54,21.15,10,6.33,9.38,False
15.7,6,-7.56,10.2,21.81,134.58,-0.2,42,9.44,82.56,-6.34,2.31,1,1.95,10.59,True
17.7,26.1,11.52,1.62,2.25,77.58,1.11,335,3.24,294.56,5.84,18,10,10.28,9.44,False
11.7,2.73,0.78,9.68,19.26,98.58,0.35,10,7.43,104.56,-7.74,2.1,1,1.76,,False
37.7,28.65,8.6,0.9,5.46,17.58,-1.85,30,3.51,354.56,1.76,19.5,10,7.78,10.27,False
17.7,31.2,4.48,-0.06,9.48,-87.42,-0.83,25,3.17,494.56,-2.38,19.65,10,9.33,,True
15.7,2.37,-2.38,9.1,17.04,125.58,-0.42,16,9.36,126.56,-3.32,1.83,1,1.62,10.71,False
17.7,33.15,7.54,1.16,7.02,-132.42,0.18,190,6.44,284.56,3.66,24.9,10,6.28,8.36,False
57.7,22.35,8.54,2.22,2.97,257.58,-1.09,350,3.14,194.56,7.9,26.55,10,7.63,,True
57.7,26.4,7.42,3.58,12.66,347.58,-1.5,110,4.74,484.56,3.48,18.6,10,7.03,,False
37.7,22.95,10.1,1.94,6.42,167.58,3.59,325,5.29,94.56,3.4,20.7,10,7.08,,False
11.7,4.29,-1.2,13.12,23.64,137.58,-1.03,1,8.88,118.56,-4.28,2.19,1,1.41,10.39,False
15.7,2.16,0.86,14.52,21.06,152.58,-0.82,27,8.31,84.56,-2.48,2.76,1,1.6,,False
37.7,47.1,10.52,1.96,4.71,-57.42,-1.45,290,3.71,484.56,4.64,15.15,10,10.38,12,True
17.7,39.6,7.28,4.12,13.29,-27.42,-2.17,65,5.21,354.56,2.32,18.3,10,6.58,,False
11.7,5.61,-0.22,10.98,22.74,104.58,1.09,27,8.09,140.56,-3.42,1.17,1,2.01,,False
37.7,21.9,8.62,5.78,7.83,-132.42,-0.5,200,4.26,524.56,4.38,18,10,8.63,9.22,False
7.7,3.12,-3.98,11.52,30.27,74.58,2.97,6,8.97,112.56,-3.02,2.07,1,1.89,,False
11.7,0.42,-1,9.26,17.1,164.58,0.66,16,7.79,90.56,-3.54,2.1,1,1.89,10.6,False
15.7,3.42,0.86,13.7,18.54,161.58,-0.87,13,7.96,86.56,-3.22,0.24,1,1.55,,False
11.7,0.27,0.8,9.58,16.53,167.58,-0.04,16,8.69,138.56,-2.96,1.26,1,2.22,,False
15.7,3.33,0.42,8.88,29.76,131.58,2.41,46,7.55,150.56,-3.92,1.83,1,1.99,,False
17.7,15.75,9.56,1.6,2.88,-12.42,2.98,185,3.28,164.56,8.24,27.9,10,8.73,10.82,True
37.7,20.25,4.68,1.1,4.38,437.58,-1.69,205,4.39,464.56,5.24,18.6,10,9.53,,True
37.7,18.45,10.08,-0.28,2.67,-42.42,-1.81,15,3.62,444.56,7.6,30,10,7.78,11.62,True
37.7,19.95,3.76,1.1,9.27,77.58,-0.46,280,5.64,204.56,4.66,22.2,10,6.18,10.76,False
17.7,27.9,7.64,2.24,4.29,-132.42,0.18,135,3.54,504.56,5.16,19.35,10,8.78,,False
11.7,5.34,-0.12,9.44,23.16,68.58,0.4,6,8.57,72.56,-2.98,0.42,1,2.06,,False
37.7,28.35,8.2,-1.72,1.68,302.58,-0.24,285,4.59,274.56,7.28,28.8,10,8.43,11.93,True
15.7,1.38,0.04,9.22,20.67,179.58,2.49,18,8.66,148.56,-2.7,2.37,1,1.72,11.31,False
37.7,17.85,6.82,1.02,7.2,317.58,-0.87,235,3.33,384.56,7.02,29.7,10,7.43,11.51,True
7.7,17.55,11.02,1.86,3.51,-162.42,-0.63,5,3.09,134.56,5.64,27.15,10,7.63,,True
11.7,4.92,1.14,12.74,18.09,107.58,-0.64,5,8.38,108.56,-2.26,0.36,1,2,,False
37.7,31.5,11.04,6.58,4.65,227.58,-0.44,295,2.83,114.56,4.72,20.1,10,8.38,,True
11.7,5.04,1.42,8.9,16.68,74.58,1.97,25,7.56,72.56,-4.1,2.4,1,1.67,,False
7.7,1.62,1.36,9.34,19.41,101.58,-0.15,3,8.29,112.56,-2.26,1.92,1,1.84,9.76,False
37.7,19.65,11.68,-1.54,5.61,152.58,-0.46,160,2.99,94.56,8.16,22.05,10,8.43,11.28,True
7.7,3.24,0.84,11.86,17.25,113.58,0.15,51,7.49,90.56,-5.32,1.56,1,2.28,,True
37.7,30.15,9.98,0.78,11.22,302.58,1.3,365,5.62,264.56,6.34,19.65,10,7.68,8.91,False
7.7,3.51,1.12,10.34,15.78,80.58,0.74,16,7.25,74.56,-4.06,1.86,1,2.26,,True
11.7,4.65,0.4,10.82,26.67,65.58,-0.3,66,7.44,126.56,-2.72,1.32,1,2.15,,True
11.7,2.55,-7.4,10.26,17.34,131.58,-0.11,25,7.87,104.56,-7.08,1.5,1,1.85,,False
37.7,17.25,8.48,0.58,4.68,302.58,-2.26,20,4.59,374.56,3.38,18.9,10,7.98,10.83,False
11.7,3.96,0.28,13.26,16.86,161.58,0.18,13,8.36,130.56,-5.32,2.37,1,2.12,12.25,True
57.7,23.25,7.76,1.98,8.55,347.58,-0.17,60,6.07,334.56,3.38,20.1,10,6.53,10.46,False
37.7,19.65,8.04,0.66,5.1,407.58,-0.81,335,4.04,524.56,-0.2,22.5,10,8.33,10.13,False
7.7,6.33,0.44,10.3,19.44,92.58,-0.67,16,10.43,134.56,-3,2.31,1,1.44,,False
17.7,19.05,9.7,2.98,4.95,-72.42,0.89,265,2.84,224.56,8.82,30.15,10,9.78,,True
11.7,4.5,0.12,9.7,17.16,101.58,-0.46,19,7.58,114.56,-4.46,1.38,1,1.64,11.01,False
7.7,0.45,-2.26,8.74,17.82,119.58,2.93,26,10.9,100.56,-2.52,2.61,1,1.98,11.33,True
11.7,2.97,1.12,8.58,16.95,158.58,0.71,29,7.96,96.56,-2.8,2.52,1,2.14,,True
17.7,21.45,6.66,-0.36,7.17,-147.42,-0.39,35,2.87,294.56,7.5,29.4,10,8.03,,True
37.7,20.1,10.38,5.32,6.3,332.58,-0.41,210,2.72,434.56,6.8,25.65,10,8.28,12.48,True
37.7,44.25,8.28,6.1,10.8,77.58,-2.09,85,4.65,304.56,3.04,15.3,10,7.63,,False
17.7,39.45,3.78,4.24,10.17,107.58,-1.54,55,3.63,94.56,3.76,20.55,10,6.68,9.6,False
37.7,18.45,8.78,3.62,5.37,227.58,-1.38,170,4.52,394.56,2.36,20.7,10,7.18,,False
37.7,25.65,10.36,5.34,4.02,-87.42,-1.04,190,2.77,314.56,7.32,30.45,10,7.68,11.36,True
11.7,2.73,1.02,11.18,17.7,134.58,0.48,6,8.74,92.56,-3.78,1.86,1,1.52,,False
7.7,3.87,-0.1,9.48,21.87,92.58,-0.33,4,7.6,110.56,-4.92,2.43,1,1.96,,True
17.7,16.2,6.88,7.04,9.54,-12.42,-0.37,105,4.6,444.56,0.6,19.5,10,6.83,,False
7.7,4.17,1.16,8.38,16.65,119.58,-0.63,8,7.51,88.56,-3.5,1.32,1,2.22,10.98,True
37.7,16.05,10.7,0.7,14.1,407.58,-1.52,195,5.71,174.56,2.9,17.1,5,7.18,,True
15.7,6.27,-1,8.96,21.66,134.58,0.86,48,14.93,128.56,-2.16,1.56,1,2.18,11.64,True
17.7,41.25,8.66,-0.64,3.78,-117.42,0.86,230,3.72,314.56,4.92,26.1,10,7.53,,False
7.7,5.97,0.38,9.54,18.45,71.58,0.34,25,7.62,88.56,-5.76,1.77,1,1.68,11.29,False
17.7,24,11.36,-1,6.12,92.58,1.64,340,3.62,354.56,8.34,23.4,10,9.78,,False
11.7,3.27,-3.32,11.58,19.11,185.58,-0.49,4,8.43,100.56,-3.54,2.55,1,1.93,11.43,True
17.7,18.9,3.84,3.3,14.1,-162.42,1.84,175,3.3,524.56,2.72,15.3,10,9.78,,False
11.7,0.78,0.12,8.6,19.2,179.58,-0.47,48,9.08,106.56,-14.68,2.1,1,2.22,12.39,True
17.7,17.25,9.48,0.26,5.16,92.58,-0.31,50,3.54,294.56,6.48,21,10,7.73,,False
17.7,29.55,6.98,3.64,9.18,-147.42,0.92,330,8.72,494.56,3.1,18.3,10,6.98,,False
11.7,1.08,1.46,8.78,17.94,158.58,0.45,1,9.4,104.56,-3.88,0.9,1,2.08,,False
11.7,4.38,0.88,20.86,23.67,152.58,1.27,9,9.94,136.56,-2.6,1.83,1,1.78,10.88,False
15.7,5.76,0.6,10.48,16.83,128.58,-0.48,5,8.51,82.56,-4.1,3,1,1.65,,True
17.7,20.85,6.84,2.6,11.04,-27.42,-0.48,55,2.85,464.56,5.84,27.75,10,7.58,10.41,False
37.7,26.4,6.76,-0.12,3.15,302.58,-0.42,290,3.7,164.56,5.74,25.05,10,6.78,12.3,True
37.7,42,10.3,-0.04,3.84,-27.42,-0.99,270,2.66,354.56,5.84,28.95,10,7.23,,True
17.7,29.25,12.02,-1.88,2.91,-117.42,-0.13,180,2.45,154.56,8.04,21.15,10,10.28,10.32,True
15.7,4.05,1.36,8.9,18.99,131.58,-1.05,1,8.39,72.56,-2.14,3.09,1,2.17,10.54,True
17.7,29.7,7.88,4.86,10.89,-87.42,0.6,265,5.12,284.56,3.08,16.35,10,6.88,,False
57.7,26.55,6.82,4.16,7.98,197.58,-0.37,120,4.29,344.56,4.18,17.25,10,6.88,,False
15.7,5.82,-3.34,11.9,20.67,152.58,0.18,57,7.52,146.56,-3.78,0.09,1,2.19,10.91,False
15.7,3.78,-0.02,10.84,20.58,158.58,-0.41,62,7.69,124.56,-3.1,1.62,1,1.91,,False
15.7,3.93,-1.88,9.24,23.49,143.58,-0.25,41,7.31,110.56,-4.22,2.79,1,2.04,,True
15.7,2.85,-0.22,11.78,18.09,146.58,-0.7,11,7.59,134.56,-7,1.86,1,2.17,12.72,True
57.7,29.7,9.08,-0.14,4.65,272.58,-1.65,270,4.46,324.56,2.82,24.45,10,7.33,11.41,True
37.7,20.85,1.12,2.74,9.96,-27.42,-1.28,85,5.64,324.56,2.08,20.1,10,6.18,10.31,False
15.7,4.2,0.26,12.88,19.74,134.58,1.69,45,8.18,140.56,-6.9,0.99,1,2.26,,False
11.7,4.44,-1.14,13.54,20.04,125.58,-0.02,9,7.97,80.56,-3.1,1.83,1,1.44,,False
7.7,3.99,-0.74,9.36,19.29,92.58,1.47,3,13.63,140.56,-5.46,1.89,1,1.76,,False
15.7,5.19,-3.56,9.44,16.92,167.58,-0.74,28,7.85,120.56,-3.54,0.99,1,1.89,,True
15.7,0.6,1.24,15.98,19.98,155.58,1.31,27,12.66,126.56,-3.22,2.64,1,1.92,11.19,False
11.7,2.28,-1.1,8.78,19.38,155.58,1.31,3,9.28,92.56,-2.08,2.94,1,1.88,,True
7.7,4.65,1.36,8.96,19.74,62.58,1.47,1,7.32,128.56,-3.1,2.97,1,1.91,,True
11.7,1.08,-1.32,8.64,27.57,146.58,-0.67,7,8.21,70.56,-2.36,0.69,1,2.34,10.98,True
11.7,3.21,-8.94,14.46,16.62,77.58,-0.39,3,12.24,132.56,-2.88,2.76,1,2.17,11.71,True
11.7,4.56,-0.14,11.98,21.63,77.58,-0.75,4,7.96,134.56,-2.32,2.49,1,1.58,11.12,False
7.7,3.54,-2.24,8.4,20.97,59.58,-0.54,7,11.47,108.56,-4.72,2.73,1,2.04,,True
37.7,15.9,8.5,0.42,3.6,302.58,-1.34,200,3.3,204.56,6.56,22.05,10,8.43,11.84,True
37.7,21.45,9.46,4.98,4.38,92.58,-0.3,235,4.05,494.56,6.88,17.4,10,10.03,11.02,False
11.7,5.76,1.12,15.84,17.67,155.58,0.88,44,10.67,130.56,-3.2,3.12,1,1.44,10.5,False
15.7,6.03,-0.64,10.26,17.52,167.58,-0.55,22,9.1,152.56,-3.86,2.46,1,2.15,10.92,True
15.7,3.21,0.88,9.46,20.73,128.58,1.49,26,9.47,114.56,-2.52,1.89,1,2.03,,True
17.7,21,10.7,6.3,8.55,2.58,0.09,170,5.37,394.56,7.52,16.95,10,9.83,,False
11.7,1.41,-0.16,16.88,26.01,158.58,-0.38,3,9.79,90.56,-3.04,2.7,1,1.91,,True
37.7,18.15,2.38,8.38,13.2,92.58,0.86,260,3.67,524.56,5.72,19.35,5,6.83,,False
11.7,3.45,0.76,14.82,27.12,101.58,0.74,20,10.34,146.56,-5.86,0.42,1,2.12,10.26,False
37.7,19.5,9.2,2.22,7.41,17.58,0.54,50,3.11,414.56,4.42,19.2,10,8.68,10.07,True
37.7,18.6,10.68,5.22,7.98,-27.42,1.27,185,3.36,104.56,0.48,16.8,10,8.28,,False
37.7,23.7,5.06,1.54,7.2,92.58,2.61,325,4.67,214.56,4.54,15.45,10,8.18,10.89,False
11.7,4.98,0.2,10.22,17.91,179.58,-0.4,42,8.02,144.56,-3.64,1.92,1,1.82,,False
37.7,15.15,9.78,0.64,4.2,122.58,-1.28,15,4.25,234.56,5.86,15.3,10,9.33,,True
17.7,25.8,9.8,9.36,5.07,17.58,-0.07,335,3.05,384.56,7.14,21.9,10,9.38,,False
17.7,39.15,10.2,0.28,1.41,-132.42,-0.31,305,2.41,454.56,6.3,26.85,10,9.53,,True
17.7,24.9,6.96,3.22,15,-42.42,0.5,345,3.41,484.56,7.42,26.55,10,8.68,10.57,False
37.7,16.2,4.8,7.1,7.38,-102.42,2.87,245,4.24,154.56,3.34,16.65,10,6.23,,False
37.7,21.75,9.78,2.46,9.81,182.58,-0.89,50,4.51,464.56,5.5,16.05,10,9.63,10.01,True
57.7,23.7,8.64,5.82,2.07,167.58,-1.14,250,3.33,284.56,5.2,15.6,5,8.43,,True
37.7,23.85,8.02,-0.14,3.3,-27.42,0.26,340,2.75,384.56,4.9,22.65,10,8.33,,False
17.7,42.3,8.92,1.64,3.96,-42.42,0.02,225,4.16,154.56,5.9,22.2,10,7.63,,True
7.7,1.56,-1.06,8.5,17.4,104.58,-0.39,3,7.35,70.56,-5.94,2.7,1,1.77,11.58,True
11.7,2.07,-2.36,8.98,23.97,92.58,0.31,21,9.95,100.56,-10.98,2.19,1,2.05,12.43,True
11.7,1.71,0.24,8.86,20.01,74.58,0.22,16,7.04,60.56,-1.86,3.09,1,2.11,,True
13.7,1.83,1.56,8.94,20.19,122.58,-0.01,14,8.65,76.56,-5.24,2.4,1,2.16,12.05,True
11.7,4.02,1.02,15.18,26.31,119.58,0.73,19,8.33,70.56,-3.08,1.74,1,1.96,,True
15.7,1.89,1.4,10.06,22.95,155.58,-0.34,25,9.08,80.56,-8.88,0.87,1,1.9,11.46,False
37.7,41.25,7.42,1.96,14.34,257.58,-1.27,250,4.18,234.56,4.78,16.65,10,7.03,10.97,False
11.7,3.06,0.76,11.62,19.59,170.58,1.54,50,9.32,78.56,-2.86,0.72,1,1.99,10.31,False
11.7,4.86,-5.8,9.28,18.39,65.58,0.44,41,7.62,128.56,-5.64,2.01,1,2.02,,True
11.7,4.98,-1.86,12.14,24.87,116.58,-0.76,33,7.85,86.56,-2.34,0.3,1,1.88,10.11,False
15.7,2.82,-6.22,10.66,25.26,134.58,-0.09,20,9.59,108.56,-2.76,1.65,1,1.75,,False
37.7,22.5,9.64,5.06,7.02,32.58,0.55,385,3.24,454.56,4.9,28.65,10,6.73,,False
11.7,3.96,-0.48,9.22,23.79,89.58,-0.04,39,7.38,148.56,-2.54,2.22,1,2.24,11.53,True
37.7,23.4,7.98,2.88,10.41,362.58,1.22,365,4.29,424.56,5.32,16.05,10,8.38,8.82,False
15.7,3.66,0.14,10.66,19.56,131.58,-0.7,3,12.71,120.56,-3.46,2.34,1,1.4,10.61,False
11.7,4.17,-12.56,11.04,17.91,173.58,0.59,9,8.22,128.56,-4.32,0.18,1,2.2,,True
11.7,0.9,-1.88,9.38,17.91,173.58,-0.13,33,7.93,80.56,-4.04,2.43,1,2.22,,True
11.7,0.66,1.1,10.52,29.13,170.58,-0.06,55,10.2,130.56,-4.22,1.98,1,2.21,10.8,True
37.7,44.85,6.4,2.8,7.41,227.58,-1.09,160,4.09,404.56,4.02,16.05,10,7.68,9.34,False
17.7,28.65,8.94,1.86,5.76,-12.42,-1.53,65,3.72,484.56,5.26,26.1,10,6.68,,False
